provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Guanacaste;2020;6;Junio;343.8;11.46;40.1;29
Guanacaste;2020;7;Julio;263.3;8.49;39.4;27
Guanacaste;2020;8;Agosto;491.4;15.85;84.1;30
Guanacaste;2020;9;Setiembre;394.9;13.16;46.7;30
Guanacaste;2020;10;Octubre;510.4;16.46;47.6;31
Guanacaste;2020;11;Noviembre;564.5;18.82;78.0;29
Guanacaste;2020;12;Diciembre;19.2;0.62;8.1;14
Guanacaste;2021;1;Enero;21.3;0.69;12.4;11
Guanacaste;2021;2;Febrero;2.4;0.09;0.7;7
Guanacaste;2021;3;Marzo;3.4;0.11;2.0;5
Guanacaste;2021;4;Abril;125.5;4.18;24.1;24
Guanacaste;2021;5;Mayo;96.6;3.12;29.3;25
Guanacaste;2021;6;Junio;433.4;14.45;82.4;28
Guanacaste;2021;7;Julio;211.3;6.82;38.7;24
Guanacaste;2021;8;Agosto;497.9;16.06;56.5;29
Guanacaste;2021;9;Setiembre;381.4;12.71;42.6;30
Guanacaste;2021;10;Octubre;489.9;15.8;80.1;31
Guanacaste;2021;11;Noviembre;79.2;2.64;24.0;20
Guanacaste;2021;12;Diciembre;4.0;0.13;0.9;13
Guanacaste;2022;1;Enero;2.3;0.07;0.6;8
Guanacaste;2022;2;Febrero;2.5;0.09;0.8;7
Guanacaste;2022;3;Marzo;12.6;0.41;2.4;14
Guanacaste;2022;4;Abril;102.3;3.41;21.6;26
Guanacaste;2022;5;Mayo;606.0;19.55;101.6;31
Guanacaste;2022;6;Junio;653.7;21.79;52.7;30
Guanacaste;2022;7;Julio;426.5;13.76;87.9;30
Guanacaste;2022;8;Agosto;470.1;15.16;47.4;30
Guanacaste;2022;9;Setiembre;640.8;21.36;89.0;30
Guanacaste;2022;10;Octubre;384.4;12.4;70.8;31
Guanacaste;2022;11;Noviembre;342.2;11.41;35.0;28
Guanacaste;2022;12;Diciembre;4.7;0.15;1.3;14
Guanacaste;2023;1;Enero;15.6;0.5;10.0;7
Guanacaste;2023;2;Febrero;0.0;0.0;0.0;0
Guanacaste;2023;3;Marzo;96.2;3.1;33.2;17
Guanacaste;2023;4;Abril;36.8;1.23;19.6;11
Guanacaste;2023;5;Mayo;136.9;4.42;27.0;23
Guanacaste;2023;6;Junio;350.5;11.68;40.1;30
Guanacaste;2023;7;Julio;270.1;8.71;35.0;26
Guanacaste;2023;8;Agosto;357.0;11.52;40.8;29
Guanacaste;2023;9;Setiembre;225.7;7.52;27.9;29
Guanacaste;2023;10;Octubre;738.6;23.83;54.1;31
Guanacaste;2023;11;Noviembre;306.1;10.2;31.9;28
Guanacaste;2023;12;Diciembre;17.3;0.56;9.6;9
Guanacaste;2024;1;Enero;4.7;0.15;1.7;5
Guanacaste;2024;2;Febrero;3.8;0.13;1.9;4
Guanacaste;2024;3;Marzo;15.4;0.5;3.0;10
Guanacaste;2024;4;Abril;60.1;2.0;18.5;15
Guanacaste;2024;5;Mayo;305.9;9.87;66.5;28
Guanacaste;2024;6;Junio;881.0;29.37;119.8;30
Guanacaste;2024;7;Julio;415.6;13.41;34.0;29
Guanacaste;2024;8;Agosto;382.6;12.34;36.6;30
Guanacaste;2024;9;Setiembre;524.1;17.47;44.0;29
Guanacaste;2024;10;Octubre;427.9;13.8;45.3;29
Guanacaste;2024;11;Noviembre;617.6;20.59;64.5;28
Guanacaste;2024;12;Diciembre;114.3;3.69;33.5;25
Heredia;2018;1;Enero;80.7;2.6;21.6;21
Heredia;2018;2;Febrero;2.3;0.08;0.9;6
Heredia;2018;3;Marzo;8.0;0.26;2.6;8
Heredia;2018;4;Abril;48.3;1.61;12.1;24
Heredia;2018;5;Mayo;242.0;7.81;38.2;30
Heredia;2018;6;Junio;247.9;8.26;55.3;29
Heredia;2018;7;Julio;139.2;4.49;25.8;29
Heredia;2018;8;Agosto;110.3;3.56;30.9;30
Heredia;2018;9;Setiembre;238.8;7.96;29.5;29
Heredia;2018;10;Octubre;429.8;13.86;58.8;29
Heredia;2018;11;Noviembre;175.9;5.86;33.4;28
Heredia;2018;12;Diciembre;13.1;0.42;5.9;12
Heredia;2019;1;Enero;1.3;0.04;0.6;4
Heredia;2019;2;Febrero;5.8;0.21;1.9;7
Heredia;2019;3;Marzo;10.5;0.34;3.7;10
Heredia;2019;4;Abril;59.3;1.98;16.9;18
Heredia;2019;5;Mayo;401.2;12.94;44.9;31
Heredia;2019;6;Junio;166.7;5.56;50.8;29
Heredia;2019;7;Julio;63.1;2.04;15.0;24
Heredia;2019;8;Agosto;179.2;5.78;34.3;29
Heredia;2019;9;Setiembre;350.6;11.69;60.0;28
Heredia;2019;10;Octubre;477.6;15.41;42.5;31
Heredia;2019;11;Noviembre;90.3;3.01;28.1;25
Heredia;2019;12;Diciembre;91.2;2.94;23.2;23
Heredia;2020;1;Enero;49.0;1.58;18.7;20
